Serial,PMID,URL,Title,occurrence:: initial,occurrence:: update,taxonomy:: single strain,taxonomy:: single species,taxonomy:: multi-species,taxonomy:: virus,taxonomy:: eubacteria,taxonomy:: archaebacteia,taxonomy:: eukaryotes,taxonomy:: mammals,taxonomy:: model organism,taxonomy:: human,taxonomy:: invertebrate,taxonomy:: vertebrate,taxonomy:: unicellular eukaryotes,taxonomy:: plants,taxonomy:: fungi,data:: single molecule type,data:: DNA,data:: RNA,data:: protein,data:: lipids,data:: carbohydrates,data:: chemicals and small molecules,data:: genes,data:: genome,data:: transcriptome,data:: proteome,data:: metabolome,data:: structure,data:: sequence,data:: short tandem repeats,data:: intron/exon,data:: coding/non-coding DNA,data:: complements,data:: transposons,data:: promoters and regulators,data:: metal ion binding/ interactions,data:: enzymatic sites/ complexes,data:: localization,data:: motif,data:: classification,data:: genetic similarity and/or conservation,data:: properties and annotation,data:: enzymes,data:: ribozymes,data:: pathways,data:: protein-nucleic acid interactions,data:: protein-protein interactions,data:: post-translational modifications,data:: diseases,data:: mutations and polymorphisms,data:: probes and primers,data:: antibodies,data:: ligand activity and pairs,data:: drugs and drug targets,data:: clinical,data:: literature,data:: statistics,data:: ancient,data:: comparative,data:: high-throughput,data:: microarray,data:: NGS,data:: crystallography,data:: mass spectrometry,data:: images,data:: images:: microscopic,data:: model,data:: model:: 3D,data:: model:: interactions,data:: inferred,system:: organelles,system:: nucleus,system:: cytoplasm,system:: mitochondria,system:: chloroplast,system:: ribosome,system:: extracellular,system:: whole cell,system:: tissues,system:: organs,system:: organ systems,system:: organism,system:: population,access:: web forms/applications,access:: programmatic,access:: data download,access:: submission,status:: alive,status:: dead,status:: unknown,Category_List
216,24214991,http://ekpd.biocuckoo.org,EKPD: a hierarchical database of eukaryotic protein kinases and protein phosphatases,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,occurrence:: initial | data:: DNA | data:: protein | data:: genes | data:: sequence | data:: enzymatic sites/ complexes | data:: classification | data:: properties and annotation | data:: enzymes | data:: literature | access:: web forms/applications | access:: data download | status:: alive
217,23203870,http://eendb.zfgenetics.org/,EENdb: a database and knowledge base of ZFNs and TALENs for endonuclease engineering,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,occurrence:: initial | data:: DNA | data:: protein | data:: structure | data:: sequence | data:: enzymatic sites/ complexes | data:: enzymes | data:: protein-nucleic acid interactions | data:: literature | access:: web forms/applications | access:: data download | status:: alive
214,23175615,http://eupathdb.org,EuPathDB: The Eukaryotic Pathogen database,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,occurrence:: update | taxonomy:: multi-species | taxonomy:: eukaryotes | taxonomy:: unicellular eukaryotes | data:: DNA | data:: RNA | data:: protein | data:: genes | data:: genome | data:: transcriptome | data:: proteome | data:: sequence | data:: classification | data:: properties and annotation | data:: mutations and polymorphisms | data:: literature | data:: high-throughput | access:: web forms/applications | access:: data download | status:: alive
215,24213601,http://epitrans.org,EPITRANS: A database that integrates epigenome and transcriptome data,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,occurrence:: initial | data:: DNA | data:: RNA | data:: genes | data:: genome | data:: transcriptome | data:: sequence | data:: properties and annotation | data:: literature | access:: web forms/applications | access:: data download | status:: alive
212,23203885,http://factorbook.org,Factorbook.org: a Wiki-based database for transcription factor-binding data generated by the ENCODE consortium,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,occurrence:: initial | taxonomy:: single species | taxonomy:: eukaryotes | taxonomy:: mammals | taxonomy:: human | taxonomy:: vertebrate | data:: DNA | data:: RNA | data:: protein | data:: promoters and regulators | data:: enzymatic sites/ complexes | data:: protein-nucleic acid interactions | data:: ligand activity and pairs | data:: literature | access:: web forms/applications | access:: data download | status:: alive
213,23777206,http://exon.niaid.nih.gov/HASP.html,HASP server: a database and structural visualization platform for comparative models of influenza A hemagglutinin proteins,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,occurrence:: initial | taxonomy:: virus | data:: protein | data:: structure | data:: sequence | data:: literature | data:: model:: 3D | access:: data download | status:: alive
210,24234003,http://floresta.eead.csic.es/footprintdb,footprintDB: a database of transcription factors with annotated cis elements and binding interfaces,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,occurrence:: initial | taxonomy:: multi-species | data:: DNA | data:: protein | data:: genes | data:: structure | data:: sequence | data:: promoters and regulators | data:: enzymatic sites/ complexes | data:: motif | data:: properties and annotation | data:: protein-nucleic acid interactions | data:: literature | data:: inferred | access:: web forms/applications | access:: data download | status:: alive
211,23904198,http://findis.org,The Finnish Disease Heritage Database (FinDis) Update-A Database for the Genes Mutated in the Finnish Disease Heritage Brought to the Next-Generation Sequencing Era,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,occurrence:: update | taxonomy:: single species | taxonomy:: eukaryotes | taxonomy:: mammals | taxonomy:: human | taxonomy:: vertebrate | data:: single molecule type | data:: DNA | data:: genes | data:: sequence | data:: properties and annotation | data:: diseases | data:: mutations and polymorphisms | data:: literature | access:: web forms/applications | access:: data download | status:: alive
165,23955518,http://mitofish.aori.u-tokyo.ac.jp/,MitoFish and MitoAnnotator: A Mitochondrial Genome Database of Fish with an Accurate and Automatic Annotation Pipeline,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,occurrence:: initial | taxonomy:: multi-species | taxonomy:: eukaryotes | taxonomy:: vertebrate | data:: single molecule type | data:: DNA | data:: genes | data:: genome | data:: sequence | data:: properties and annotation | data:: literature | system:: organelles | access:: web forms/applications | access:: data download | status:: alive
264,23825543,http://biotechlab.fudan.edu.cn/database/lamp,LAMP: A Database Linking Antimicrobial Peptides,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,occurrence:: update | data:: protein | data:: structure | data:: sequence | data:: literature | access:: web forms/applications | access:: data download | status:: alive
